taxiId,timestamp,longitude,latitude
588,588,588,588
5617,5617,5617,5617
1323,1323,1323,1323
1779,1779,1779,1779
1623,1623,1623,1623
807,807,807,807
1692,1692,1692,1692
1697,1697,1697,1697
8,8,8,8
625,625,625,625
1715,1715,1715,1715
1690,1690,1690,1690
1010,1010,1010,1010
904,904,904,904
1156,1156,1156,1156
1661,1661,1661,1661
4895,4895,4895,4895
4407,4407,4407,4407
606,606,606,606
1731,1731,1731,1731
728,728,728,728
1559,1559,1559,1559
627,627,627,627
1705,1705,1705,1705
530,530,530,530
2043,2043,2043,2043
1638,1638,1638,1638
789,789,789,789
1707,1707,1707,1707
1279,1279,1279,1279
1663,1663,1663,1663
1002,1002,1002,1002
1709,1709,1709,1709
751,751,751,751
1639,1639,1639,1639
1719,1719,1719,1719
1157,1157,1157,1157
3416,3416,3416,3416
1689,1689,1689,1689
709,709,709,709
1704,1704,1704,1704
1686,1686,1686,1686
1667,1667,1667,1667
1518,1518,1518,1518
1695,1695,1695,1695
677,677,677,677
2043,2043,2043,2043
1874,1874,1874,1874
1645,1645,1645,1645
1488,1488,1488,1488
1677,1677,1677,1677
12,12,12,12
1719,1719,1719,1719
944,944,944,944
1678,1678,1678,1678
1519,1519,1519,1519
1318,1318,1318,1318
1221,1221,1221,1221
726,726,726,726
904,904,904,904
1648,1648,1648,1648
1737,1737,1737,1737
831,831,831,831
1711,1711,1711,1711
848,848,848,848
1707,1707,1707,1707
22,22,22,22
1521,1521,1521,1521
1916,1916,1916,1916
1706,1706,1706,1706
1428,1428,1428,1428
1109,1109,1109,1109
1321,1321,1321,1321
1007,1007,1007,1007
927,927,927,927
244,244,244,244
1400,1400,1400,1400
1060,1060,1060,1060
710,710,710,710
1486,1486,1486,1486
1725,1725,1725,1725
974,974,974,974
1987,1987,1987,1987
1565,1565,1565,1565
1214,1214,1214,1214
1012,1012,1012,1012
666,666,666,666
1498,1498,1498,1498
838,838,838,838
1286,1286,1286,1286
1278,1278,1278,1278
1715,1715,1715,1715
614,614,614,614
2138,2138,2138,2138
2016,2016,2016,2016
1985,1985,1985,1985
764,764,764,764
757,757,757,757
1564,1564,1564,1564
1138,1138,1138,1138
1569,1569,1569,1569
859,859,859,859
1642,1642,1642,1642
1280,1280,1280,1280
633,633,633,633
1555,1555,1555,1555
3747,3747,3747,3747
1256,1256,1256,1256
478,478,478,478
1019,1019,1019,1019
479,479,479,479
1013,1013,1013,1013
508,508,508,508
9,9,9,9
1615,1615,1615,1615
1231,1231,1231,1231
874,874,874,874
715,715,715,715
1716,1716,1716,1716
1254,1254,1254,1254
1717,1717,1717,1717
602,602,602,602
412,412,412,412
768,768,768,768
615,615,615,615
1813,1813,1813,1813
516,516,516,516
1132,1132,1132,1132
1442,1442,1442,1442
1961,1961,1961,1961
1877,1877,1877,1877
0,0,0,0
635,635,635,635
1766,1766,1766,1766
1701,1701,1701,1701
1716,1716,1716,1716
1728,1728,1728,1728
697,697,697,697
1699,1699,1699,1699
974,974,974,974
1729,1729,1729,1729
1675,1675,1675,1675
1021,1021,1021,1021
1951,1951,1951,1951
897,897,897,897
541,541,541,541
442,442,442,442
1798,1798,1798,1798
449,449,449,449
828,828,828,828
716,716,716,716
1138,1138,1138,1138
815,815,815,815
392,392,392,392
1225,1225,1225,1225
1047,1047,1047,1047
2405,2405,2405,2405
1433,1433,1433,1433
1677,1677,1677,1677
1474,1474,1474,1474
1493,1493,1493,1493
915,915,915,915
495,495,495,495
1136,1136,1136,1136
1203,1203,1203,1203
969,969,969,969
1077,1077,1077,1077
694,694,694,694
4121,4121,4121,4121
1731,1731,1731,1731
1221,1221,1221,1221
1690,1690,1690,1690
564,564,564,564
1511,1511,1511,1511
1691,1691,1691,1691
1585,1585,1585,1585
1659,1659,1659,1659
1177,1177,1177,1177
895,895,895,895
3314,3314,3314,3314
1776,1776,1776,1776
1153,1153,1153,1153
1221,1221,1221,1221
904,904,904,904
1693,1693,1693,1693
1114,1114,1114,1114
691,691,691,691
1208,1208,1208,1208
1373,1373,1373,1373
1589,1589,1589,1589
2410,2410,2410,2410
1626,1626,1626,1626
691,691,691,691
1605,1605,1605,1605
6,6,6,6
976,976,976,976
750,750,750,750
2300,2300,2300,2300
1411,1411,1411,1411
1040,1040,1040,1040
4428,4428,4428,4428
957,957,957,957
1720,1720,1720,1720
3518,3518,3518,3518
940,940,940,940
851,851,851,851
1566,1566,1566,1566
1604,1604,1604,1604
6,6,6,6
5,5,5,5
1613,1613,1613,1613
1591,1591,1591,1591
5,5,5,5
1769,1769,1769,1769
802,802,802,802
2451,2451,2451,2451
1064,1064,1064,1064
3259,3259,3259,3259
751,751,751,751
